АЗС_CODE,PRODNAME,TANKNUM,ДАТА,HOUR,КОЛИЧЕСТВО
M007,3300000002,2,2024-07-01,7,307.0
M007,3300000002,2,2024-07-01,9,597.0
M007,3300000002,2,2024-07-01,20,396.0
M007,3300000002,2,2024-07-01,22,284.0
M007,3300000002,2,2024-07-02,2,61.0
M007,3300000002,2,2024-07-02,3,80.0
M007,3300000002,2,2024-07-02,7,425.0
M007,3300000002,2,2024-07-02,13,615.0
M007,3300000002,2,2024-07-02,18,393.0
M007,3300000002,2,2024-07-03,8,494.0
M007,3300000002,2,2024-07-03,13,567.0
M007,3300000002,2,2024-07-04,3,57.0
M007,3300000002,2,2024-07-04,6,179.0
M007,3300000002,2,2024-07-04,9,445.0
M007,3300000002,2,2024-07-04,14,516.29
M007,3300000002,2,2024-07-04,21,522.0
M007,3300000002,2,2024-07-05,6,653.0
M007,3300000002,2,2024-07-05,10,476.71
M007,3300000002,2,2024-07-05,12,590.0
M007,3300000002,2,2024-07-05,19,773.0
M007,3300000002,2,2024-07-05,23,100.0
M007,3300000002,2,2024-07-06,5,359.0
M007,3300000002,2,2024-07-06,8,450.0
M007,3300000002,2,2024-07-06,11,475.0
M007,3300000002,2,2024-07-06,19,478.0
M007,3300000002,2,2024-07-06,20,558.0
M007,3300000002,2,2024-07-07,0,124.0
M007,3300000002,2,2024-07-07,6,375.0
M007,3300000002,2,2024-07-07,7,199.0
M007,3300000002,2,2024-07-07,12,433.0
M007,3300000002,2,2024-07-07,16,623.0
M007,3300000002,2,2024-07-07,21,373.0
M007,3300000002,2,2024-07-08,1,260.0
M007,3300000002,2,2024-07-08,6,399.0
M007,3300000002,2,2024-07-08,9,953.0
M007,3300000002,2,2024-07-08,11,506.0
M007,3300000002,2,2024-07-08,18,417.0
M007,3300000002,2,2024-07-10,9,633.0
M007,3300000002,2,2024-07-10,15,612.0
M007,3300000002,2,2024-07-10,19,504.0
M007,3300000002,2,2024-07-11,6,474.0
M007,3300000002,2,2024-07-12,6,574.0
M007,3300000002,2,2024-07-12,21,575.0
M007,3300000002,2,2024-07-13,0,9.0
M007,3300000002,2,2024-07-13,5,546.0
M007,3300000002,2,2024-07-13,10,1124.0
M007,3300000002,2,2024-07-13,20,449.0
M007,3300000002,2,2024-07-14,3,137.0
M007,3300000002,2,2024-07-14,12,825.0
M007,3300000002,2,2024-07-14,20,657.0
M007,3300000002,2,2024-07-15,10,301.14
M007,3300000002,2,2024-07-15,11,973.0
M007,3300000002,2,2024-07-15,14,872.0
M007,3300000002,2,2024-07-15,17,728.0
M007,3300000002,2,2024-07-16,4,237.0
M007,3300000002,2,2024-07-16,21,457.0
M007,3300000002,2,2024-07-17,9,900.0
M007,3300000002,2,2024-07-17,15,402.0
M007,3300000002,2,2024-07-17,18,608.0
M007,3300000002,2,2024-07-18,5,414.0
M007,3300000002,2,2024-07-18,14,1048.0
M007,3300000002,2,2024-07-19,7,348.0
M007,3300000002,2,2024-07-19,10,424.72
M007,3300000002,2,2024-07-19,18,769.0
M007,3300000002,2,2024-07-19,21,496.0
M007,3300000002,2,2024-07-20,2,252.0
M007,3300000002,2,2024-07-20,14,721.0
M007,3300000002,2,2024-07-20,19,435.0
M007,3300000002,2,2024-07-21,7,377.0
M007,3300000002,2,2024-07-21,13,591.0
M007,3300000002,2,2024-07-21,18,412.0
M007,3300000002,2,2024-07-22,6,549.0
M007,3300000002,2,2024-07-22,11,1052.0
M007,3300000002,2,2024-07-22,12,851.0
M007,3300000002,2,2024-07-23,1,70.0
M007,3300000002,2,2024-07-23,14,628.0
M007,3300000002,2,2024-07-23,15,652.0
M007,3300000002,2,2024-07-24,0,233.0
M007,3300000002,2,2024-07-24,12,643.0
M007,3300000002,2,2024-07-25,0,64.0
M007,3300000002,2,2024-07-25,8,514.0
M007,3300000002,2,2024-07-25,20,616.0
M007,3300000002,2,2024-07-26,8,560.0
M007,3300000002,2,2024-07-26,11,249.63
M007,3300000002,2,2024-07-26,20,470.0
M007,3300000002,2,2024-07-27,4,228.0
M007,3300000002,2,2024-07-27,8,633.0
